category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Replication and repair	hsa03030	DNA replication	0/79	36/8790	0	0	-0.572528684407132	1	1	1		0
Genetic Information Processing	Transcription	hsa03040	Spliceosome	0/79	205/8790	0	0	-1.37960910460264	1	1	1		0
Genetic Information Processing	Folding, sorting and degradation	hsa03050	Proteasome	0/79	46/8790	0	0	-0.647549708754927	1	1	1		0
Genetic Information Processing	Folding, sorting and degradation	hsa03060	Protein export	0/79	31/8790	0	0	-0.531132473148405	1	1	1		0
Genetic Information Processing	Chromosome	hsa03082	ATP-dependent chromatin remodeling	0/79	115/8790	0	0	-1.02792978315941	1	1	1		0
Genetic Information Processing	Chromosome	hsa03083	Polycomb repressive complex	0/79	83/8790	0	0	-0.871673905227318	1	1	1		0
Genetic Information Processing	Information processing in viruses	hsa03250	Viral life cycle - HIV-1	0/79	68/8790	0	0	-0.788307550302106	1	1	1		0
Genetic Information Processing	Replication and repair	hsa03410	Base excision repair	0/79	44/8790	0	0	-0.633243692658415	1	1	1		0
Genetic Information Processing	Replication and repair	hsa03420	Nucleotide excision repair	0/79	62/8790	0	0	-0.752467500024865	1	1	1		0
Genetic Information Processing	Replication and repair	hsa03430	Mismatch repair	0/79	23/8790	0	0	-0.457285768631498	1	1	1		0
Genetic Information Processing	Replication and repair	hsa03440	Homologous recombination	0/79	41/8790	0	0	-0.611169947750783	1	1	1		0
Genetic Information Processing	Replication and repair	hsa03450	Non-homologous end-joining	0/79	13/8790	0	0	-0.343595840717327	1	1	1		0
Genetic Information Processing	Replication and repair	hsa03460	Fanconi anemia pathway	0/79	53/8790	0	0	-0.69535412920285	1	1	1		0
